airline,airlineLabel,countryLabel,hub,hubLabel,iataCode
http://www.wikidata.org/entity/Q795301,Weststar Aviation,Malaysia,http://www.wikidata.org/entity/Q1431802,Bandar Udara Sultan Abdul Aziz Shah,-
http://www.wikidata.org/entity/Q4202205,World Cargo Airlines,Malaysia,http://www.wikidata.org/entity/Q500253,Bandar Udara Internasional Kuala Lumpur,3G
http://www.wikidata.org/entity/Q101208227,Burma Airways,Myanmar,http://www.wikidata.org/entity/Q174764,Bandar Udara Internasional Yangon,
http://www.wikidata.org/entity/Q18355700,Fmi air,Myanmar,http://www.wikidata.org/entity/Q174764,Bandar Udara Internasional Yangon,
http://www.wikidata.org/entity/Q101208258,Myanma Airways,Myanmar,http://www.wikidata.org/entity/Q174764,Bandar Udara Internasional Yangon,
http://www.wikidata.org/entity/Q101208211,Union of Burma Airways,Myanmar,http://www.wikidata.org/entity/Q174764,Bandar Udara Internasional Yangon,
http://www.wikidata.org/entity/Q2494087,Air KBZ,Myanmar,http://www.wikidata.org/entity/Q174764,Bandar Udara Internasional Yangon,
http://www.wikidata.org/entity/Q407508,Air Mandalay,Myanmar,http://www.wikidata.org/entity/Q174764,Bandar Udara Internasional Yangon,
http://www.wikidata.org/entity/Q2494170,Asian Wings Airways,Myanmar,http://www.wikidata.org/entity/Q174764,Bandar Udara Internasional Yangon,
http://www.wikidata.org/entity/Q2945963,Golden Myanmar Airlines,Myanmar,http://www.wikidata.org/entity/Q1193001,Bandar Udara Internasional Mandalay,
http://www.wikidata.org/entity/Q17065733,Mann Yadanarpon Airlines,Myanmar,http://www.wikidata.org/entity/Q1193001,Bandar Udara Internasional Mandalay,7Y
http://www.wikidata.org/entity/Q1141636,Myanma Airways,Myanmar,http://www.wikidata.org/entity/Q174764,Bandar Udara Internasional Yangon,
http://www.wikidata.org/entity/Q1888335,Myanmar Airways International,Myanmar,http://www.wikidata.org/entity/Q174764,Bandar Udara Internasional Yangon,8M
http://www.wikidata.org/entity/Q101208285,Myanmar National Airlines,Myanmar,http://www.wikidata.org/entity/Q174764,Bandar Udara Internasional Yangon,UB
http://www.wikidata.org/entity/Q667400,Yangon Airways,Myanmar,http://www.wikidata.org/entity/Q174764,Bandar Udara Internasional Yangon,
http://www.wikidata.org/entity/Q935837,Jetstar Asia Airways,Singapura,http://www.wikidata.org/entity/Q32159,Bandar Udara Internasional Changi Singapura,
http://www.wikidata.org/entity/Q870818,Jett8 Airlines,Singapura,http://www.wikidata.org/entity/Q32159,Bandar Udara Internasional Changi Singapura,
http://www.wikidata.org/entity/Q1319404,Scoot,Singapura,http://www.wikidata.org/entity/Q32159,Bandar Udara Internasional Changi Singapura,TR
http://www.wikidata.org/entity/Q284748,SilkAir,Singapura,http://www.wikidata.org/entity/Q32159,Bandar Udara Internasional Changi Singapura,
http://www.wikidata.org/entity/Q32245,Singapore Airlines,Singapura,http://www.wikidata.org/entity/Q32159,Bandar Udara Internasional Changi Singapura,SQ
